timestamp,open,high,low,close,volume
1474848000,54.8,55.0,54.075,54.4,11626980.0
1474934400,54.25,55.54,53.9,55.34,17402790.0
1475020800,54.6,54.9965,52.8,53.25,33038080.0
1475107200,52.92,53.58,52.12,52.16,16911670.0
1475193600,52.57,53.06,52.28,52.65,12879540.0
1475452800,52.54,53.0,52.42,52.67,7586770.0
1475539200,52.9,53.06,52.08,52.14,10732990.0
1475625600,52.15,52.64,52.1,52.12,7170753.0
1475712000,52.2,52.33,51.97,52.03,9185829.0
1475798400,52.42,52.46,51.68,51.79,8394693.0
1476057600,52.13,52.25,51.77,51.79,5463049.0
1476144000,51.95,52.25,51.52,51.82,9184098.0
1476230400,52.01,52.71,51.8,52.44,9285340.0
1476316800,52.12,52.32,51.5,52.03,8418045.0
1476403200,52.38,52.5,51.62,51.62,7130701.0
1476662400,51.65,51.75,50.96,51.03,7886300.0
1476748800,51.3,51.66,51.19,51.22,6804944.0
1476835200,51.34,51.84,51.14,51.8,6983938.0
1476921600,51.77,52.36,51.69,51.89,6572027.0
1477008000,51.74,51.87,51.25,51.77,8238319.0
1477267200,52.16,52.29,51.83,51.87,7569008.0
1477353600,50.97,51.44,50.71,51.05,14919090.0
1477440000,50.95,52.27,50.9,51.97,12386670.0
1477526400,52.34,52.34,51.69,51.89,7936840.0
1477612800,52.12,52.5,51.79,52.02,9096631.0
1477872000,50.88,51.15,50.0,50.18,17896880.0
1477958400,50.5,50.51,49.14,49.62,14079990.0
1478044800,49.24,50.27,49.01,49.72,10742290.0
1478131200,49.98,50.0,49.31,49.73,7639954.0
1478217600,49.8,50.45,49.76,49.96,9924542.0
1478476800,50.48,50.93,50.28,50.91,8346194.0
1478563200,51.1,51.49,50.953,51.08,8109894.0
1478649600,50.07,51.27,49.8,51.12,9058254.0
1478736000,51.29,51.37,50.33,50.39,12306310.0
1478822400,50.22,50.85,50.18,50.77,6300238.0
1479081600,51.18,51.19,50.21,50.21,8013737.0
1479168000,50.46,50.64,49.75,50.13,9279610.0
1479254400,50.0,50.8,49.95,50.68,6659054.0
1479340800,50.94,51.6725,50.72,51.59,7646913.0
1479427200,51.39,51.89,50.96,51.1,7450657.0
1479686400,51.0,51.42,50.9527,51.28,5357197.0
1479772800,51.47,51.75,51.05,51.71,5227782.0
1479859200,51.71,51.85,51.2,51.34,4148848.0
1480032000,51.68,51.74,51.35,51.52,2736767.0
1480291200,51.44,51.44,50.61,51.01,8356716.0
1480377600,51.2,51.37,50.57,50.63,6063464.0
1480464000,50.52,50.81,50.07,50.07,8168380.0
1480550400,50.11,51.25,50.06,50.65,7609690.0
1480636800,50.26,50.68,50.105,50.46,6933086.0
1480896000,50.8,52.27,50.7,51.85,12009070.0
1480982400,50.83,51.1,50.26,50.57,12485430.0
1481068800,50.79,52.25,50.5968,52.1,10363830.0
1481155200,52.15,52.47,51.45,51.55,9255664.0
1481241600,51.76,51.9699,51.5,51.72,5861312.0
1481500800,51.5,51.9,50.94,51.54,11458300.0
1481587200,51.83,53.215,51.83,52.3,11331090.0
1481673600,52.24,52.34,51.59,51.79,8001727.0
1481760000,52.0,52.04,51.09,51.29,9545119.0
1481846400,51.6,51.64,50.67,50.92,13971530.0
1482105600,50.91,51.36,50.48,50.85,9423102.0
1482192000,51.06,51.99,50.75,51.79,14741170.0
1482278400,52.9,53.35,51.55,52.3,23211280.0
1482364800,52.8,53.0,52.0255,52.14,11798600.0
1482451200,51.99,52.35,51.67,51.91,9356743.0
1482796800,51.8,52.25,51.2,51.29,8153746.0
1482883200,51.31,51.5,50.87,51.02,6264995.0
1482969600,51.0,51.24,50.88,51.06,4679736.0
1483056000,51.1,51.33,50.7,50.83,7383343.0
1483401600,51.99,52.5,51.77,51.98,13287280.0
1483488000,52.23,53.345,52.09,53.07,13686230.0
1483574400,52.92,53.1,52.44,53.06,8673284.0
1483660800,53.09,54.09,52.98,53.91,12526190.0
1483920000,53.96,53.99,53.215,53.38,8823213.0
1484006400,53.55,53.7301,53.11,53.11,8041363.0
1484092800,53.12,53.29,52.665,52.69,8208297.0
1484179200,52.51,52.69,52.16,52.4,7325408.0
1484265600,52.59,52.93,52.23,52.92,6691908.0
1484611200,53.4,53.95,53.01,53.65,9887948.0
